2019-05-12 14:37:56,184 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-05-12 14:37:56,252 [     68]   INFO -        #com.intellij.idea.Main - IDE: PyCharm (build #PC-191.7141.48, 07 May 2019 10:34) 
2019-05-12 14:37:56,252 [     68]   INFO -        #com.intellij.idea.Main - OS: Windows 10 (10.0, amd64) 
2019-05-12 14:37:56,252 [     68]   INFO -        #com.intellij.idea.Main - JRE: 11.0.2+9-b159.56 (JetBrains s.r.o) 
2019-05-12 14:37:56,252 [     68]   INFO -        #com.intellij.idea.Main - JVM: 11.0.2+9-b159.56 (OpenJDK 64-Bit Server VM) 
2019-05-12 14:37:56,252 [     68]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Djb.vmOptionsFile=C:\Program Files (x86)\JetBrains\PyCharm Community Edition 2019.1.2\bin\pycharm64.exe.vmoptions -Didea.platform.prefix=PyCharmCore -Dide.native.launcher=true -Didea.paths.selector=PyCharmCE2019.1 -XX:ErrorFile=C:\Users\camper\java_error_in_pycharm_%p.log -XX:HeapDumpPath=C:\Users\camper\java_error_in_pycharm.hprof 
2019-05-12 14:37:56,252 [     68]   INFO -        #com.intellij.idea.Main - charsets: JNU=Cp1252 file=Cp1252 
2019-05-12 14:37:56,320 [    136]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 68 ms 
2019-05-12 14:37:56,320 [    136]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2019-05-12 14:37:56,681 [    497]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-05-12 14:37:56,901 [    717]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (JRE-managed HiDPI) 
2019-05-12 14:38:01,677 [   5493]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 757 ms 
2019-05-12 14:38:02,265 [   6081]   INFO - m.intellij.ui.mac.touchbar.NST - OS doesn't support touchbar, skip nst loading 
2019-05-12 14:38:10,547 [  14363]   INFO - .intellij.idea.IdeaApplication - CPU cores: 2; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@58cf4382[Running, parallelism = 2, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@721fa550 
2019-05-12 14:38:10,975 [  14791]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 213 ms 
2019-05-12 14:38:10,975 [  14791]   INFO - llij.ide.plugins.PluginManager - Plugin 'IntelliJ Configuration Script' can't be loaded because: Plugin does not include any module dependency tags in its plugin.xml therefore is assumed legacy and can be loaded only in IntelliJ IDEA 
2019-05-12 14:38:11,079 [  14895]   INFO - llij.ide.plugins.PluginManager - 20 plugins initialized in 317 ms 
2019-05-12 14:38:11,079 [  14895]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Copyright (191.7141.48), EditorConfig (191.7141.48), Git Integration (191.7141.48), GitHub (191.7141.48), IDEA CORE (191.7141.48), IntelliLang (191.7141.48), Markdown support (191.7141.48), Mercurial Integration (191.7141.48), Properties Support (191.7141.48), Python Copyright (191.7141.48), Python IntelliLang (191.7141.48), Python ReStructureText Integration (191.7141.48), Python Terminal (191.7141.48), ReStructuredText Support (191.7141.48), Settings Repository (191.7141.48), Subversion (191.7141.48), Task Management (191.7141.48), Terminal (191.7141.48), YAML (191.7141.48) 
